Pm;Vm;Im;Voc;Isc;Voc_coeff;Isc_coeff;Rs;Iph;I0;Rp;n
3.334722222;0.486111111;6.86;0.575;8.01;-0.32;0.04;0.002485417;8.0455;5.7612E-11;0.561477778;0.87676
4.085;0.5;8.17;0.618333333;8.74;-0.38561;0.066098;0.004988167;8.7638;7.0242E-10;4.039416667;1.0361
4.175;0.5;8.35;0.625;8.85;-0.36;0.05;0.005912167;8.9173;2.9657E-10;4.644548333;1.0089
4.07934;0.519;7.86;0.62;8.6;-0.35809;0.0335;0.002905833;8.617;2.5804E-10;1.471443333;0.99795
4.095;0.5;8.19;0.619861111;8.71;-0.40511;0.075603;0.004973472;8.7921;1.3176E-09;3.925909722;1.0674
4.031204167;0.507708333;7.94;0.628854167;8.44;-0.34287;0.024917;0.005786563;8.4592;1.4732E-10;5.880007292;0.98851
2.551677083;0.523958333;4.87;0.63125;5.29;-0.3805;0.072306;0.005436354;5.299;3.6053E-10;3.179205208;1.0512
2.810686458;0.539479167;5.21;0.62875;5.58;-0.353;0.062007;0.00182125;5.5826;1.474E-10;4.402108333;1.0058
3.502666667;0.473333333;7.4;0.601666667;8;-0.4164;0.0952;0.0070225;8.0393;1.7306E-09;2.859153333;1.0533
3.886886111;0.491388889;7.91;0.618055556;8.52;-0.3604;0.052817;0.006569306;8.538;2.8835E-10;3.117018056;0.99868
4.16635;0.515;8.09;0.626166667;8.79;-0.33601;0.024005;0.004356833;8.8118;1.1757E-10;1.753836667;0.97492
4.103611111;0.519444444;7.9;0.626388889;8.45;-0.34;0.05;0.003859028;8.4692;1.3747E-10;3.173668056;0.98227
4.248;0.531;8;0.636833333;8.29;-0.43389;0.076598;0.002593167;8.4169;2.9265E-09;29.37647167;1.1382
3.8235625;0.486458333;7.86;0.605104167;8.32;-0.37345;0.010084;0.005642708;8.3576;4.158E-10;8.69875;0.9931
4.169005556;0.504722222;8.26;0.640277778;8.68;-0.32809;0.057442;0.007459306;8.7586;9.2547E-11;8.668340278;0.98639
2.708933333;0.513055556;5.28;0.631111111;5.62;-0.40299;0.082295;0.0070225;5.6833;8.0239E-10;4.264188889;1.0843
3.7345;0.485;7.7;0.61;8.3;-0.33899;0.124;0.006834167;8.32;1.4579E-10;2.835086667;0.95963
2.495625;0.504166667;4.95;0.619444444;5.61;-0.39101;0.041907;0.007123194;5.6418;5.0564E-10;1.2561;1.0463
3.761426667;0.492333333;7.64;0.617166667;8.4;-0.37791;0.036095;0.0063155;8.4355;4.9719E-10;1.49636;1.022
3.751416667;0.491666667;7.63;0.59;8.55;-0.29689;0.036702;0.003698;8.5763;2.8335E-11;0.920803333;0.87143
4.166701667;0.503833333;8.27;0.632166667;8.75;-0.36151;0.060526;0.0062845;8.8112;3.1369E-10;5.620118333;1.0233
4.098255556;0.497361111;8.24;0.619583333;8.71;-0.32999;0.05;0.005989028;8.7982;9.8404E-11;3.693156944;0.95707
3.701962963;0.485185185;7.63;0.618518519;8.12;-0.31201;0.04298;0.008299259;8.1336;4.4822E-11;7.278455556;0.92901
4.052660417;0.496041667;8.17;0.6175;8.64;-0.3636;0.01044;0.005684271;8.6828;3.0916E-10;8.218471875;0.99936
4.1769;0.51;8.19;0.626944444;8.59;-0.3564;0.053725;0.004949722;8.6701;2.5631E-10;7.755805556;1.0069
4.001616667;0.498333333;8.03;0.616666667;8.59;-0.38559;0.0661;0.005103667;8.621;6.9032E-10;3.900091667;1.0333
4.174011111;0.512777778;8.14;0.631111111;8.79;-0.4;0.09;0.004590694;8.833;1.1485E-09;2.282245833;1.0806
4.0033;0.501666667;7.98;0.616666667;8.66;-0.339;0.021998;0.0050905;8.6991;1.2926E-10;1.746531667;0.96429
3.1948;0.49;6.52;0.61;7.26;-0.324;0.026997;0.007316806;7.3046;6.1232E-11;1.191933333;0.93356
3.7534;0.49;7.66;0.61;8.08;-0.345;0.081002;0.006156333;8.1045;1.6666E-10;15.395465;0.96505
4.005;0.494444444;8.1;0.619444444;8.6;-0.353;0.035;0.006272778;8.6219;2.1996E-10;7.792588889;0.98883
3.58;0.5;7.16;0.611666667;8.1;-0.3364;0.038469;0.005129833;8.1495;1.106E-10;0.839251667;0.955
3.89;0.5;7.78;0.615277778;8.15;-0.28384;0.070638;0.005909028;8.2175;1.4598E-11;10.44885417;0.88535
