,Pm,Vm,Im,Voc,Isc,Voc_coeff,Isc_coeff,Rs,Iph,I0,Rp,n
99,3.892194444,0.500925926,7.77,0.616481481,8.36,-0.3283,0.054952,0.005430740999999999,8.3947,8.8251e-11,2.410575926,0.95039
100,4.2432,0.51,8.32,0.645,8.88,-0.337,0.043795,0.0071465,8.9,1.2854e-10,5.168418333,1.0063
101,4.537637037,0.508703704,8.92,0.636296296,9.26,-0.34269,0.06581000000000001,0.0058562959999999996,9.4006,1.7355000000000004e-10,14.50613519,1.0022
102,2.418766667,0.496666667,4.87,0.6166666670000001,5.21,-0.36580999999999997,0.046008,0.009129833,5.2163,2.1063999999999998e-10,7.505866667,1.0036
103,3.615,0.5,7.23,0.604027778,7.79,-0.355,0.10400999999999999,0.003998472,7.8017,2.3538e-10,2.673423611,0.9717
104,4.250333333,0.518333333,8.2,0.63,8.73,-0.48101000000000005,-0.01,0.0030065,8.7637,9.673899999999999e-09,8.990445,1.1894
105,2.083166667,0.483333333,4.31,0.6,4.74,-0.374,0.089008,0.009681111,4.7583,2.6675999999999997e-10,2.50145,0.9915299999999999
106,4.162638889,0.507638889,8.2,0.624444444,8.77,-0.3115,0.026407999999999997,0.005375694,8.7842,4.5957e-11,3.327356944,0.9364299999999999
107,3.8199,0.51,7.49,0.608055556,7.96,-0.3802,0.064824,0.002691111,7.9877,5.36e-10,4.527834722,1.0111
108,3.9187,0.496666667,7.89,0.6183333329999999,8.51,-0.30501,0.061998000000000004,0.006404000000000001,8.5335,3.6229e-11,2.323421667,0.92022
109,4.2504777780000005,0.503611111,8.44,0.627916667,8.91,-0.32999,0.05,0.005989444,8.9882,1.0073e-10,4.752440278,0.96985
110,2.57,0.5,5.14,0.6,5.76,-0.32,0.05,0.005214306,5.8168,4.2646e-11,1.147156944,0.9142100000000001
111,3.377591667,0.470416667,7.18,0.5505555560000001,8.32,-0.36039,0.052825,0.001113431,8.3249,2.6573e-10,0.581263889,0.8910799999999999
112,3.8231111110000002,0.488888889,7.82,0.622222222,8.25,-0.31799,0.057005999999999994,0.007976111,8.309,5.9428e-11,10.99039722,0.94394
113,4.70925,0.525,8.97,0.648333333,9.56,-0.3,0.03,0.005464333,9.6031,3.1570999999999996e-11,2.943366667,0.9552200000000001
114,3.8171111110000004,0.494444444,7.72,0.620833333,8.23,-0.364,0.11500999999999999,0.006601389,8.2611,3.4753e-10,5.387436111,1.012
115,2.4988333330000003,0.483333333,5.17,0.605555556,5.75,-0.3922,0.044364999999999995,0.008831389,5.7803,5.4504e-10,1.678266667,1.0239
116,3.608,0.488888889,7.38,0.605555556,7.95,-0.38039,0.017006,0.005581806,7.9639999999999995,5.001699999999999e-10,3.1800125,1.0044
117,2.323611111,0.48611111100000004,4.78,0.6138888889999999,5.15,-0.37921,0.047184,0.010971528000000001,5.1602,3.2620999999999995e-10,5.582880556,1.0184
118,3.66275,0.498333333,7.35,0.604,7.77,-0.32999,0.05,0.0045015,7.8528,8.756899999999999e-11,3.326925,0.93304
119,3.75705,0.495,7.59,0.6166666670000001,8.16,-0.39250999999999997,0.07889700000000001,0.005783333000000001,8.2511,8.356299999999999e-10,2.129138333,1.0446
120,3.667665,0.4845,7.57,0.607666667,8.12,-0.35636,0.026601,0.006609,8.1334,2.2973e-10,4.00638,0.9744799999999999
121,3.8893,0.485555556,8.01,0.61875,8.52,-0.33971,0.0423,0.007624444,8.5279,1.3623e-10,10.48289861,0.9690200000000001
122,4.2445833330000005,0.5083333329999999,8.35,0.6283333329999999,8.87,-0.31401,0.0059977,0.005621167,8.9678,4.9913999999999994e-11,2.403091667,0.94481
123,3.41525,0.475,7.19,0.57,8.05,-0.36,0.06,0.0031385000000000002,8.0772,2.6667e-10,0.92796,0.9222899999999999
124,4.307333333,0.505555556,8.52,0.621805556,9.2,-0.36301,0.0545,0.004632222,9.2184,3.4074e-10,2.310481944,1.0088
125,4.199966667,0.515333333,8.15,0.631166667,8.59,-0.32361,0.069232,0.0050435,8.6827,7.834899999999998e-11,3.712783333,0.96675
126,3.3976800000000003,0.46799999999999997,7.26,0.596,7.82,-0.34,0.040997000000000006,0.0080044,7.8811,1.2589e-10,2.369442,0.93435
127,3.886666667,0.488888889,7.95,0.622222222,8.33,-0.42799,0.049004,0.00681375,8.4855,2.4245999999999997e-09,21.56177083,1.1022
128,3.9858833330000003,0.5116666670000001,7.79,0.6266666670000001,8.28,-0.38311,0.055302,0.004625833,8.3514,6.060499999999999e-10,3.366428333,1.0458
129,2.76009375,0.519791667,5.31,0.628125,5.71,-0.354,0.055009,0.005750729,5.718,1.5465999999999999e-10,4.113158333,1.0058
130,2.64,0.5,5.28,0.619444444,5.52,-0.3,0.05,0.009243471999999999,5.5793,1.9083e-11,18.93793056,0.91343
131,3.5696,0.485,7.36,0.6035,7.93,-0.34399,0.11,0.006243667,7.9471,1.6355000000000002e-10,2.8836983330000003,0.9556399999999999
132,4.250125,0.515166667,8.25,0.6256666670000001,8.82,-0.32999,0.04,0.004291167,8.832,9.720200000000001e-11,3.3741199999999996,0.96593
133,3.1825,0.475,6.7,0.593333333,7.6,-0.36399000000000004,0.051118000000000004,0.006664499999999999,7.6586,2.8461e-10,0.864458333,0.96539
134,4.167083333,0.5069444439999999,8.22,0.629166667,8.79,-0.3447,0.039295,0.005693194,8.802,1.6727000000000003e-10,4.1801722219999995,0.9926799999999999
135,4.030208333,0.5069444439999999,7.95,0.627777778,8.6,-0.36719,0.07430199999999999,0.005440694,8.6331,3.7877000000000003e-10,2.2505305559999997,1.0259
136,4.240888889,0.5097222220000001,8.32,0.6180555560000001,8.78,-0.33,0.063804,0.004104305999999999,8.8443,1.0126999999999999e-10,4.287855556,0.9555
137,3.838833333,0.5166666670000001,7.43,0.6183333329999999,8.05,-0.35159,0.043503,0.003306167,8.0629,1.9593e-10,2.0607916669999997,0.98624
138,2.221666667,0.477777778,4.65,0.6,5.0,-0.3922,0.04438,0.010188194,5.0078,4.8011e-10,6.517513889,1.0132
139,3.835,0.49166666700000006,7.8,0.6166666670000001,8.43,-0.37141,0.0393,0.006337,8.4499,4.0645000000000003e-10,2.689543333,1.0115
140,2.7782222219999997,0.522222222,5.32,0.629166667,5.72,-0.37840999999999997,0.072308,0.005027361,5.7506,3.6594000000000003e-10,3.336834722,1.0445
141,4.074962963,0.503703704,8.09,0.62962963,8.99,-0.32,0.06,0.006403889,9.0458,6.8655e-11,1.0321,0.95975
142,4.2534,0.51,8.34,0.638333333,8.83,-0.377,0.05,0.005993333000000001,8.8516,5.255800000000001e-10,14.37843667,1.0554
143,3.822055556,0.494444444,7.73,0.6166666670000001,8.15,-0.33,0.05,0.006448471999999999,8.2164,9.209100000000001e-11,5.939284722000001,0.9524
144,3.917066667,0.493333333,7.94,0.6133333329999999,8.49,-0.33701,-0.017998,0.0059524999999999995,8.5396,1.1133e-10,2.902745,0.9534299999999999
145,3.7479166669999997,0.48611111100000004,7.71,0.6180555560000001,8.2,-0.396,0.047,0.0072102780000000005,8.216000000000001,8.956900000000001e-10,13.99908333,1.0489
146,4.375222222,0.517777778,8.45,0.6280555560000001,8.95,-0.369,0.061006,0.003752778,9.0289,4.1379e-10,3.5036333330000002,1.0277
147,2.361333333,0.488888889,4.83,0.6166666670000001,5.29,-0.33919,0.045293,0.011312778,5.314,8.229600000000001e-11,2.495018056,0.96614
148,3.957291667,0.5034722220000001,7.86,0.6180555560000001,8.49,-0.35600000000000004,0.07,0.004914722,8.5074,2.5227e-10,2.3940652780000002,0.9936200000000001
149,2.5697,0.509861111,5.04,0.611944444,5.44,-0.35100000000000003,0.045993,0.005173611,5.4481,1.3038e-10,3.473265278,0.97524
150,4.378513889,0.5097222220000001,8.59,0.6319444439999999,8.99,-0.4,0.05,0.004924444,9.1174,1.1307e-09,21.69321528,1.0785
151,4.082668056,0.510972222,7.99,0.619027778,8.51,-0.33729000000000003,0.061598,0.00413625,8.5224,1.2774e-10,4.350130556,0.96736
152,3.61375,0.49166666700000006,7.35,0.6138888889999999,8.06,-0.32,0.05,0.006835833,8.0988,6.083700000000001e-11,1.4793722219999998,0.93475
153,4.0188,0.51,7.88,0.621060606,8.31,-0.3244,0.053321,0.004738333,8.3312,7.605800000000002e-11,11.75985606,0.9512
154,2.71,0.5,5.42,0.625,6.02,-0.34,0.05,0.009205,6.055,9.6615e-11,1.5829208330000002,0.98115
155,4.08375,0.495,8.25,0.62,8.8,-0.34,0.07,0.006230833000000001,8.8702,1.4869e-10,2.933245,0.97354
156,3.7536,0.49066666700000006,7.65,0.611,8.21,-0.4198,0.06905,0.005404833,8.2892,1.9036e-09,2.558016667,1.0729
157,3.854333333,0.497333333,7.75,0.613166667,8.34,-0.35241,0.039796,0.005316333,8.3554,2.0880000000000002e-10,2.881243333,0.97864
158,3.9204,0.484,8.1,0.6156666670000001,8.64,-0.3641,0.057002,0.007138167,8.6786,3.3628e-10,5.1773183330000005,1.0001
159,3.897833333,0.505555556,7.71,0.625,8.23,-0.38311,0.055298,0.005353056,8.2572,6.0134e-10,4.836272222,1.0428
160,4.26,0.5,8.52,0.62,8.98,-0.32,0.06,0.0056055,9.0011,7.006199999999999e-11,13.295855,0.9436200000000001
161,2.386666667,0.49722222200000005,4.8,0.6138888889999999,5.1,-0.39719,0.060391999999999994,0.008073194,5.1404,5.899800000000001e-10,6.421852778,1.0448
162,3.918016667,0.5016666670000001,7.81,0.6183333329999999,8.31,-0.35,0.05,0.005354,8.3169,1.949e-10,6.652356667,0.9837100000000001
163,3.710666667,0.488888889,7.59,0.614814815,8.13,-0.395,0.11699999999999999,0.006451851999999999,8.1387,9.471e-10,6.032025926,1.0467
164,3.834266667,0.496666667,7.72,0.6166666670000001,8.26,-0.35,0.06,0.0059085,8.2713,1.9632e-10,4.326433333,0.9818100000000001
165,3.49641,0.47700000000000004,7.33,0.609166667,7.79,-0.29601,0.12300000000000001,0.008773,7.8039,2.5420999999999997e-11,8.012196667000001,0.89675
166,3.885,0.5,7.77,0.623611111,8.28,-0.37,0.115,0.006044444,8.3196,4.2863e-10,4.730125,1.0253
167,4.17635,0.505,8.27,0.6365151520000001,8.65,-0.4213,0.093503,0.006076364,8.8139,2.2004e-09,18.73560455,1.1207
168,2.4375,0.4875,5.0,0.6,5.49,-0.37200000000000005,0.12500999999999998,0.007422875,5.5084,3.0511e-10,2.21076875,0.99097
169,3.786611111,0.505555556,7.49,0.608055556,7.96,-0.34,0.05,0.0037804170000000003,7.9654,1.2977e-10,5.5983666670000005,0.95329
170,3.168,0.495,6.4,0.6183333329999999,7.1,-0.37,0.07,0.007286,7.1366,3.3862e-10,1.4152850000000001,1.0151
171,3.751416667,0.49166666700000006,7.63,0.614583333,8.37,-0.31,0.02,0.006776458000000001,8.4507,4.0518e-11,1.201920833,0.92
172,3.812973958,0.485729167,7.85,0.6040625,8.31,-0.37344,0.010084000000000001,0.0056252080000000005,8.3464,4.1504e-10,8.401894792,0.99139
173,4.041194443999999,0.501388889,8.06,0.6166666670000001,8.57,-0.4259,0.096196,0.0042966670000000005,8.5844,2.4615000000000002e-09,10.26455278,1.0927
174,4.026,0.5083333329999999,7.92,0.6333333329999999,8.39,-0.348,0.058999,0.006203889000000001,8.4271,1.8641e-10,6.714638889,1.0052
175,4.09125,0.495909091,8.25,0.627878788,8.71,-0.34271,0.065809,0.007049545,8.7605,1.6182e-10,9.687268182,0.9891200000000001
176,3.3345,0.475,7.02,0.6,7.7,-0.34,0.07,0.007642667,7.7815,1.2811e-10,1.32751,0.9428
177,3.8897,0.50125,7.76,0.61,8.63,-0.4339,0.07660499999999999,0.0034505559999999996,8.5723,2.9770999999999996e-09,1.630123611,1.0923
178,3.890740741,0.509259259,7.64,0.6074074070000001,8.25,-0.34899,0.059005999999999996,0.0029390740000000003,8.2615,1.8778e-10,2.180111111,0.9660299999999999
179,2.5,0.5,5.0,0.622222222,5.29,-0.36569,0.070605,0.009242083,5.3262,2.2227e-10,9.415301389,1.0139
180,4.098722222,0.490277778,8.36,0.6152777779999999,8.67,-0.31,0.05,0.00655125,8.8361,4.5495e-11,16.78634306,0.9215
181,3.334722222,0.48611111100000004,6.86,0.575,8.01,-0.32,0.04,0.002485417,8.0455,5.761199999999999e-11,0.561477778,0.87676
182,4.085,0.5,8.17,0.6183333329999999,8.74,-0.38561,0.066098,0.004988167,8.7638,7.024199999999999e-10,4.039416667,1.0361
183,4.175,0.5,8.35,0.625,8.85,-0.36,0.05,0.005912166999999999,8.9173,2.9657e-10,4.644548333,1.0089
184,4.07934,0.519,7.86,0.62,8.6,-0.35809,0.0335,0.002905833,8.617,2.5804e-10,1.471443333,0.99795
