,f,TF,Rs,Ls,Csh,Gsh,C0,G0,CHL,GHL,Case_name
156,14.32187899,-75.96628791,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
157,14.35489433,-75.98634081,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
158,14.38798578,-76.00639396,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
159,14.42115352,-76.02644737,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
160,14.45439771,-76.04650102,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
161,14.48771854,-76.06655492,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
162,14.52111618,-76.08660908,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
163,14.55459081,-76.10666349,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
164,14.588142600000001,-76.12671816,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
165,14.62177174,-76.14677308,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
166,14.65547841,-76.16682826,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
167,14.68926278,-76.18688370000001,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
168,14.72312502,-76.20693940000001,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
169,14.75706533,-76.22699536,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
170,14.79108388,-76.24705158,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
171,14.82518085,-76.26710806,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
172,14.85935642,-76.28716481,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
173,14.89361078,-76.30722183,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
174,14.9279441,-76.32727911,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
175,14.96235656,-76.34733666,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
176,14.99684836,-76.36739448,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
177,15.03141966,-76.38745258,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
178,15.06607066,-76.40751094,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
179,15.10080154,-76.42756958,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
180,15.13561248,-76.44762849,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
181,15.17050367,-76.46768767,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
182,15.2054753,-76.48774714,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
183,15.24052754,-76.50780688,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
184,15.27566058,-76.5278669,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
185,15.31087462,-76.54792721,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
186,15.34616983,-76.56798779,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
187,15.381546400000001,-76.58804866,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
188,15.41700453,-76.60810981,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
189,15.452544400000003,-76.62817125,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
190,15.48816619,-76.64823298,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
191,15.5238701,-76.66829499,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
192,15.55965632,-76.68835729999999,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
193,15.59552503,-76.70841989,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
194,15.63147643,-76.72848278,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
195,15.6675107,-76.74854596,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
196,15.70362804,-76.76860944,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
197,15.73982864,-76.78867321,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
198,15.776112699999997,-76.80873729,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
199,15.81248039,-76.82880166,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
200,15.84893192,-76.84886633,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
201,15.88546749,-76.86893131,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
202,15.92208727,-76.88899658,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
203,15.95879147,-76.90906217,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
204,15.99558029,-76.92912806,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
205,16.03245391,-76.94919425,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
206,16.06941253,-76.96926076,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
207,16.10645635,-76.98932758,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
208,16.14358557,-77.0093947,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
209,16.18080038,-77.02946215,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
210,16.21810097,-77.04952990000001,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
211,16.25548756,-77.06959798,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
212,16.29296033,-77.08966637,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
213,16.33051948,-77.10973508,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
214,16.36816521,-77.12980411,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
215,16.40589773,-77.14987346,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
216,16.44371723,-77.16994314,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
217,16.48162392,-77.19001314,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
218,16.51961798,-77.21008347,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
219,16.55769963,-77.23015412,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
220,16.59586907,-77.25022511,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
221,16.6341265,-77.27029642,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
222,16.67247213,-77.29036807,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
223,16.71090614,-77.31044006,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
224,16.74942876,-77.33051237,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
225,16.78804018,-77.35058503,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
226,16.82674061,-77.37065803,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
227,16.86553025,-77.39073136,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
228,16.90440932,-77.41080504,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
229,16.943378,-77.43087906,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
230,16.98243652,-77.45095342,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
231,17.02158508,-77.47102814,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
232,17.06082389,-77.4911032,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
233,17.10015315,-77.51117861,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
234,17.13957308,-77.53125437,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
235,17.17908387,-77.55133048,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
236,17.21868575,-77.57140695,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
237,17.25837892,-77.59148378,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
238,17.29816359,-77.61156096,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
239,17.33803998,-77.63163851,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
240,17.37800829,-77.65171641,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
241,17.41806873,-77.67179468,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
242,17.45822153,-77.69187331,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
243,17.49846689,-77.71195231,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
244,17.53880502,-77.73203167,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
245,17.57923614,-77.75211141,1.0,40.0,2.35,6.45,20.0,140.0,50.0,350.0,10_KVA_HV
