f,TF,Rs,Ls,Csh,Gsh,C0,G0,CHL,GHL,Case_name
16.6341265,-77.27029642,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.67247213,-77.29036807,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.71090614,-77.31044006,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.74942876,-77.33051237,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.78804018,-77.35058503,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.82674061,-77.37065803,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.86553025,-77.39073136,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.90440932,-77.41080504,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.943378,-77.43087906,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
16.98243652,-77.45095342,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.02158508,-77.47102814,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.06082389,-77.4911032,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.10015315,-77.51117861,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.13957308,-77.53125437,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.17908387,-77.55133048,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.21868575,-77.57140695,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.25837892,-77.59148378,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.29816359,-77.61156096,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.33803998,-77.63163851,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.37800829,-77.65171641,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.41806873,-77.67179468,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.45822153,-77.69187331,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.49846689,-77.71195231,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.53880502,-77.73203167,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.57923614,-77.75211141,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.61976046,-77.77219152,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.66037821,-77.792272,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.70108958,-77.81235285,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.74189481,-77.83243408,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.7827941,-77.85251569,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.82378767,-77.87259768,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.86487575,-77.89268005,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.90605854,-77.91276281,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.94733627,-77.93284595,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
17.98870915,-77.95292948,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
18.03017741,-77.97301339,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
18.07174126,-77.9930977,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
18.11340093,-78.0131824,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
18.15515663,-78.03326749,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
18.19700859,-78.05335298,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
18.23895702,-78.07343886,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
18.28100216,-78.09352515,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
18.32314422,-78.11361184,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
18.36538343,-78.13369893,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
18.40772001,-78.15378643,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
18.45015419,-78.17387433,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
18.49268619,-78.19396264,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
18.53531623,-78.21405137,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
18.57804455,-78.2341405,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
18.62087137,-78.25423005,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
18.66379691,-78.27432002,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
18.7068214,-78.2944104,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
18.74994508,-78.31450121,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
18.79316817,-78.33459244,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
18.83649089,-78.35468409,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
